,instance_name,our_sa_min,Jobs,our_sa_mean,SA_time,size
240,200J_10p_3m_10%_20s-1.dzn,210,200,213.8,58.19602,large
241,200J_10p_3m_10%_20s-2.dzn,216,200,217.4,52.6043,large
242,200J_10p_3m_10%_20s-3.dzn,225,200,226.1,53.69195,large
243,200J_10p_3m_10%_20s-4.dzn,206,200,208.2,54.906780000000005,large
244,200J_10p_3m_10%_20s-5.dzn,239,200,239.8,55.572050000000004,large
245,200J_10p_3m_10%_5s-1.dzn,114,200,114.1,36.2076,large
246,200J_10p_3m_10%_5s-2.dzn,117,200,118.0,40.21896,large
247,200J_10p_3m_10%_5s-3.dzn,118,200,119.3,34.94475,large
248,200J_10p_3m_10%_5s-4.dzn,113,200,113.6,32.77374,large
249,200J_10p_3m_10%_5s-5.dzn,118,200,119.3,39.50291,large
250,200J_10p_3m_5%_20s-1.dzn,194,200,196.1,51.84938999999999,large
251,200J_10p_3m_5%_20s-2.dzn,236,200,237.5,61.9212,large
252,200J_10p_3m_5%_20s-3.dzn,212,200,214.1,53.82435,large
253,200J_10p_3m_5%_20s-4.dzn,226,200,227.4,56.81051,large
254,200J_10p_3m_5%_20s-5.dzn,216,200,217.5,51.857749999999996,large
255,200J_10p_3m_5%_5s-1.dzn,77,200,79.3,36.72999,large
256,200J_10p_3m_5%_5s-2.dzn,80,200,82.4,37.248219999999996,large
257,200J_10p_3m_5%_5s-3.dzn,78,200,79.7,38.02484,large
258,200J_10p_3m_5%_5s-4.dzn,78,200,79.9,34.42435,large
259,200J_10p_3m_5%_5s-5.dzn,81,200,82.6,35.45378,large
260,200J_10p_3m_50%_20s-1.dzn,527,200,527.0,47.96679,large
261,200J_10p_3m_50%_20s-2.dzn,535,200,535.3,51.69149,large
262,200J_10p_3m_50%_20s-3.dzn,558,200,558.0,55.30395,large
263,200J_10p_3m_50%_20s-4.dzn,510,200,510.0,53.61408,large
264,200J_10p_3m_50%_20s-5.dzn,549,200,549.0,49.89087,large
265,200J_10p_3m_50%_5s-1.dzn,575,200,575.0,42.68557,large
266,200J_10p_3m_50%_5s-2.dzn,574,200,574.0,42.68012,large
267,200J_10p_3m_50%_5s-3.dzn,570,200,570.0,44.902069999999995,large
268,200J_10p_3m_50%_5s-4.dzn,538,200,538.0,40.904309999999995,large
269,200J_10p_3m_50%_5s-5.dzn,574,200,574.0,42.1892,large
270,200J_10p_5m_10%_20s-1.dzn,142,200,143.4,54.313970000000005,large
271,200J_10p_5m_10%_20s-2.dzn,143,200,146.3,53.462210000000006,large
272,200J_10p_5m_10%_20s-3.dzn,148,200,149.9,53.69199,large
273,200J_10p_5m_10%_20s-4.dzn,139,200,140.7,48.16899,large
274,200J_10p_5m_10%_20s-5.dzn,156,200,157.7,49.98366,large
275,200J_10p_5m_10%_5s-1.dzn,114,200,114.0,36.126369999999994,large
276,200J_10p_5m_10%_5s-2.dzn,114,200,114.2,38.33138,large
277,200J_10p_5m_10%_5s-3.dzn,117,200,117.2,36.20442,large
278,200J_10p_5m_10%_5s-4.dzn,112,200,112.0,34.84228,large
279,200J_10p_5m_10%_5s-5.dzn,118,200,118.0,35.180930000000004,large
280,200J_10p_5m_5%_20s-1.dzn,122,200,122.9,53.35063,large
281,200J_10p_5m_5%_20s-2.dzn,147,200,148.5,53.90007000000001,large
282,200J_10p_5m_5%_20s-3.dzn,132,200,133.7,46.84294,large
283,200J_10p_5m_5%_20s-4.dzn,142,200,143.4,48.14298,large
284,200J_10p_5m_5%_20s-5.dzn,135,200,135.6,43.50042,large
285,200J_10p_5m_5%_5s-1.dzn,67,200,68.4,31.63048,large
286,200J_10p_5m_5%_5s-2.dzn,70,200,71.5,33.57896,large
287,200J_10p_5m_5%_5s-3.dzn,66,200,67.5,36.03456,large
288,200J_10p_5m_5%_5s-4.dzn,67,200,67.7,35.4988,large
289,200J_10p_5m_5%_5s-5.dzn,69,200,70.7,31.50997,large
290,200J_10p_5m_50%_20s-1.dzn,527,200,527.0,48.81457,large
291,200J_10p_5m_50%_20s-2.dzn,535,200,535.0,49.5079,large
292,200J_10p_5m_50%_20s-3.dzn,558,200,558.0,52.81749,large
293,200J_10p_5m_50%_20s-4.dzn,510,200,510.0,52.74047,large
294,200J_10p_5m_50%_20s-5.dzn,549,200,549.0,51.69959,large
295,200J_10p_5m_50%_5s-1.dzn,575,200,575.0,44.01558,large
296,200J_10p_5m_50%_5s-2.dzn,574,200,574.0,43.30219,large
297,200J_10p_5m_50%_5s-3.dzn,570,200,570.0,48.36329,large
298,200J_10p_5m_50%_5s-4.dzn,538,200,538.0,47.15197,large
299,200J_10p_5m_50%_5s-5.dzn,574,200,574.0,46.78041,large
300,200J_30p_3m_10%_20s-1.dzn,653,200,658.7,50.72453,large
301,200J_30p_3m_10%_20s-2.dzn,620,200,623.9,47.79423,large
302,200J_30p_3m_10%_20s-3.dzn,631,200,632.7,53.08099,large
303,200J_30p_3m_10%_20s-4.dzn,636,200,641.3,58.729499999999994,large
304,200J_30p_3m_10%_20s-5.dzn,587,200,590.3,53.567330000000005,large
305,200J_30p_3m_10%_5s-1.dzn,333,200,336.0,41.19057,large
306,200J_30p_3m_10%_5s-2.dzn,324,200,326.6,36.49856,large
307,200J_30p_3m_10%_5s-3.dzn,349,200,354.9,37.140570000000004,large
308,200J_30p_3m_10%_5s-4.dzn,305,200,305.7,37.65392,large
309,200J_30p_3m_10%_5s-5.dzn,345,200,349.2,38.797399999999996,large
310,200J_30p_3m_5%_20s-1.dzn,569,200,572.1,53.332190000000004,large
311,200J_30p_3m_5%_20s-2.dzn,626,200,629.8,51.630309999999994,large
312,200J_30p_3m_5%_20s-3.dzn,577,200,581.6,48.28808,large
313,200J_30p_3m_5%_20s-4.dzn,592,200,595.2,55.98607,large
314,200J_30p_3m_5%_20s-5.dzn,628,200,633.3,56.74096999999999,large
315,200J_30p_3m_5%_5s-1.dzn,204,200,209.8,36.68991,large
316,200J_30p_3m_5%_5s-2.dzn,227,200,228.8,37.87383,large
317,200J_30p_3m_5%_5s-3.dzn,237,200,241.9,38.60231,large
318,200J_30p_3m_5%_5s-4.dzn,228,200,231.0,36.97538,large
319,200J_30p_3m_5%_5s-5.dzn,218,200,227.8,37.530950000000004,large
320,200J_30p_3m_50%_20s-1.dzn,1519,200,1519.0,48.743,large
321,200J_30p_3m_50%_20s-2.dzn,1525,200,1525.5,57.51835,large
322,200J_30p_3m_50%_20s-3.dzn,1527,200,1530.2,54.48635,large
323,200J_30p_3m_50%_20s-4.dzn,1575,200,1575.8,55.254560000000005,large
324,200J_30p_3m_50%_20s-5.dzn,1605,200,1605.0,53.06597000000001,large
325,200J_30p_3m_50%_5s-1.dzn,1614,200,1616.5,52.12202,large
326,200J_30p_3m_50%_5s-2.dzn,1760,200,1760.9,54.77123,large
327,200J_30p_3m_50%_5s-3.dzn,1642,200,1642.0,54.19721,large
328,200J_30p_3m_50%_5s-4.dzn,1648,200,1648.0,50.02761,large
329,200J_30p_3m_50%_5s-5.dzn,1604,200,1604.0,49.84863,large
330,200J_30p_5m_10%_20s-1.dzn,416,200,423.1,48.53607,large
331,200J_30p_5m_10%_20s-2.dzn,386,200,390.5,49.85104,large
332,200J_30p_5m_10%_20s-3.dzn,397,200,406.2,46.5124,large
333,200J_30p_5m_10%_20s-4.dzn,400,200,403.9,53.16722,large
334,200J_30p_5m_10%_20s-5.dzn,374,200,385.1,47.3803,large
335,200J_30p_5m_10%_5s-1.dzn,333,200,333.0,34.85231,large
336,200J_30p_5m_10%_5s-2.dzn,324,200,324.0,38.4791,large
337,200J_30p_5m_10%_5s-3.dzn,346,200,346.1,35.37431,large
338,200J_30p_5m_10%_5s-4.dzn,303,200,303.0,33.54809,large
339,200J_30p_5m_10%_5s-5.dzn,345,200,345.0,35.97735,large
340,200J_30p_5m_5%_20s-1.dzn,345,200,349.2,52.00933,large
341,200J_30p_5m_5%_20s-2.dzn,380,200,383.7,49.52258,large
342,200J_30p_5m_5%_20s-3.dzn,351,200,352.9,52.29668,large
343,200J_30p_5m_5%_20s-4.dzn,360,200,362.3,55.84558,large
344,200J_30p_5m_5%_20s-5.dzn,386,200,389.8,51.54914,large
345,200J_30p_5m_5%_5s-1.dzn,173,200,175.0,33.77087,large
346,200J_30p_5m_5%_5s-2.dzn,189,200,190.6,34.1142,large
347,200J_30p_5m_5%_5s-3.dzn,198,200,201.5,30.7964,large
348,200J_30p_5m_5%_5s-4.dzn,190,200,192.6,36.704950000000004,large
349,200J_30p_5m_5%_5s-5.dzn,188,200,192.2,30.942860000000003,large
350,200J_30p_5m_50%_20s-1.dzn,1519,200,1519.0,52.16668,large
351,200J_30p_5m_50%_20s-2.dzn,1525,200,1525.0,53.347530000000006,large
352,200J_30p_5m_50%_20s-3.dzn,1522,200,1522.0,51.92747000000001,large
353,200J_30p_5m_50%_20s-4.dzn,1575,200,1575.0,52.10625,large
354,200J_30p_5m_50%_20s-5.dzn,1605,200,1605.0,52.48891,large
355,200J_30p_5m_50%_5s-1.dzn,1614,200,1614.0,49.48346,large
356,200J_30p_5m_50%_5s-2.dzn,1681,200,1688.2,48.537150000000004,large
357,200J_30p_5m_50%_5s-3.dzn,1619,200,1619.0,48.31726,large
358,200J_30p_5m_50%_5s-4.dzn,1649,200,1649.0,50.65598,large
359,200J_30p_5m_50%_5s-5.dzn,1604,200,1604.0,48.64,large
0,100J_10p_3m_10%_20s-1.dzn,102,100,103.2,6.679869999999999,medium
1,100J_10p_3m_10%_20s-2.dzn,105,100,106.9,7.206892000000001,medium
2,100J_10p_3m_10%_20s-3.dzn,121,100,121.6,7.743720999999999,medium
3,100J_10p_3m_10%_20s-4.dzn,108,100,109.4,5.802032,medium
4,100J_10p_3m_10%_20s-5.dzn,101,100,102.5,6.173379,medium
5,100J_10p_3m_10%_5s-1.dzn,67,100,67.7,4.5946750000000005,medium
