,instance_name,our_sa_min,Jobs,our_sa_mean,SA_time,size
0,100J_10p_3m_10%_20s-1.dzn,102,100,103.2,6.679869999999999,medium
1,100J_10p_3m_10%_20s-2.dzn,105,100,106.9,7.206892000000001,medium
2,100J_10p_3m_10%_20s-3.dzn,121,100,121.6,7.743720999999999,medium
3,100J_10p_3m_10%_20s-4.dzn,108,100,109.4,5.802032,medium
4,100J_10p_3m_10%_20s-5.dzn,101,100,102.5,6.173379,medium
5,100J_10p_3m_10%_5s-1.dzn,67,100,67.7,4.5946750000000005,medium
6,100J_10p_3m_10%_5s-2.dzn,59,100,59.3,4.612296,medium
7,100J_10p_3m_10%_5s-3.dzn,62,100,63.0,4.320494,medium
8,100J_10p_3m_10%_5s-4.dzn,60,100,60.5,4.460245,medium
9,100J_10p_3m_10%_5s-5.dzn,63,100,63.3,4.771213,medium
10,100J_10p_3m_5%_20s-1.dzn,97,100,97.8,6.197146999999999,medium
11,100J_10p_3m_5%_20s-2.dzn,102,100,103.4,6.948653,medium
12,100J_10p_3m_5%_20s-3.dzn,111,100,112.2,6.941185,medium
13,100J_10p_3m_5%_20s-4.dzn,113,100,113.7,8.463692,medium
14,100J_10p_3m_5%_20s-5.dzn,107,100,108.5,6.333571,medium
15,100J_10p_3m_5%_5s-1.dzn,46,100,48.2,4.531513,medium
16,100J_10p_3m_5%_5s-2.dzn,48,100,48.9,4.3407219999999995,medium
17,100J_10p_3m_5%_5s-3.dzn,41,100,43.2,4.514553,medium
18,100J_10p_3m_5%_5s-4.dzn,40,100,40.7,3.9096420000000003,medium
19,100J_10p_3m_5%_5s-5.dzn,43,100,43.5,4.00591,medium
20,100J_10p_3m_50%_20s-1.dzn,262,100,262.0,6.845249,medium
21,100J_10p_3m_50%_20s-2.dzn,266,100,266.0,7.641909,medium
22,100J_10p_3m_50%_20s-3.dzn,264,100,264.0,7.209281,medium
23,100J_10p_3m_50%_20s-4.dzn,280,100,280.0,8.321409,medium
24,100J_10p_3m_50%_20s-5.dzn,285,100,285.5,6.686681,medium
25,100J_10p_3m_50%_5s-1.dzn,290,100,290.0,5.780713,medium
26,100J_10p_3m_50%_5s-2.dzn,260,100,260.0,5.92215,medium
27,100J_10p_3m_50%_5s-3.dzn,272,100,272.0,6.029567999999999,medium
28,100J_10p_3m_50%_5s-4.dzn,270,100,270.0,5.8003540000000005,medium
29,100J_10p_3m_50%_5s-5.dzn,286,100,286.0,5.3548100000000005,medium
30,100J_10p_5m_10%_20s-1.dzn,68,100,69.3,6.026546,medium
31,100J_10p_5m_10%_20s-2.dzn,69,100,69.8,5.716798,medium
32,100J_10p_5m_10%_20s-3.dzn,77,100,78.0,6.403628,medium
33,100J_10p_5m_10%_20s-4.dzn,76,100,77.5,5.579743,medium
34,100J_10p_5m_10%_20s-5.dzn,70,100,70.7,5.475013,medium
35,100J_10p_5m_10%_5s-1.dzn,67,100,67.0,4.623133,medium
36,100J_10p_5m_10%_5s-2.dzn,59,100,59.0,4.359874,medium
37,100J_10p_5m_10%_5s-3.dzn,62,100,62.0,4.569832,medium
38,100J_10p_5m_10%_5s-4.dzn,60,100,60.0,4.496286,medium
39,100J_10p_5m_10%_5s-5.dzn,63,100,63.0,4.50424,medium
40,100J_10p_5m_5%_20s-1.dzn,62,100,63.3,6.044967,medium
41,100J_10p_5m_5%_20s-2.dzn,65,100,66.6,6.216945,medium
42,100J_10p_5m_5%_20s-3.dzn,69,100,70.7,6.057282,medium
43,100J_10p_5m_5%_20s-4.dzn,70,100,71.4,6.625127999999999,medium
44,100J_10p_5m_5%_20s-5.dzn,68,100,68.6,5.452647,medium
45,100J_10p_5m_5%_5s-1.dzn,40,100,41.3,4.094783,medium
46,100J_10p_5m_5%_5s-2.dzn,40,100,41.1,4.294225,medium
47,100J_10p_5m_5%_5s-3.dzn,36,100,37.3,3.9995199999999995,medium
48,100J_10p_5m_5%_5s-4.dzn,34,100,34.5,4.390537,medium
49,100J_10p_5m_5%_5s-5.dzn,38,100,38.8,4.451242,medium
50,100J_10p_5m_50%_20s-1.dzn,262,100,262.0,6.235291999999999,medium
51,100J_10p_5m_50%_20s-2.dzn,266,100,266.0,6.297721,medium
52,100J_10p_5m_50%_20s-3.dzn,264,100,264.0,5.7813,medium
53,100J_10p_5m_50%_20s-4.dzn,280,100,280.0,6.775202,medium
54,100J_10p_5m_50%_20s-5.dzn,285,100,285.0,6.709137,medium
55,100J_10p_5m_50%_5s-1.dzn,290,100,290.0,5.139108,medium
56,100J_10p_5m_50%_5s-2.dzn,260,100,260.0,5.055124,medium
57,100J_10p_5m_50%_5s-3.dzn,272,100,272.0,5.1352899999999995,medium
58,100J_10p_5m_50%_5s-4.dzn,270,100,270.0,5.408984,medium
59,100J_10p_5m_50%_5s-5.dzn,286,100,286.0,5.02104,medium
60,100J_30p_3m_10%_20s-1.dzn,265,100,268.5,5.928389,medium
61,100J_30p_3m_10%_20s-2.dzn,310,100,316.7,5.8488500000000005,medium
62,100J_30p_3m_10%_20s-3.dzn,296,100,297.5,8.175535,medium
63,100J_30p_3m_10%_20s-4.dzn,278,100,281.8,6.639217,medium
