,instance,ilp,cp
0,1,0.692,0.692
1,2,0.701666667,0.701666667
2,3,0.45,0.45
3,4,0.393333333,0.393333333
4,5,0.397471264,0.397471264
5,6,0.673333333,0.673333333
6,7,0.853809215,0.853809215
7,8,0.869491525,0.869491525
8,9,0.828085106,0.828085106
9,10,0.6372,0.6372
10,11,0.629333333,0.629333333
11,12,0.576,0.576
12,13,0.584338983,0.584338983
13,14,0.578814815,0.578814815
14,15,0.552666667,0.552666667
15,16,0.785882353,0.785882353
16,17,0.451753247,0.451753247
17,18,0.736363636,0.736363636
18,19,0.5304,0.5304
19,20,0.457249335,0.457249335
20,21,0.491428571,0.491428571
21,22,0.485333333,0.485333333
22,23,0.639090301,0.652722408
23,24,0.614333333,0.627666667
24,25,0.492078431,0.492078431
25,26,0.594666667,0.594666667
26,27,0.788078431,0.788078431
27,28,0.480345098,0.474453333
28,29,0.692654545,0.692654545
29,30,0.607938723,0.607938723
30,31,0.518933333,0.518933333
31,32,0.517333333,0.517333333
32,33,0.481509434,0.494188679
33,34,0.693262222,0.70048
34,35,0.319404562,0.332465786
35,36,0.56,0.56
36,37,0.91488,0.91488
37,38,0.572529231,0.577796923
38,39,0.730551515,0.730551515
39,40,0.564381538,0.565673846
40,41,0.514857143,0.514857143
41,42,0.662666667,0.668
42,43,0.56,0.56
43,44,0.545006667,0.545006667
44,45,0.687800791,0.698706719
45,46,0.628266667,0.601333333
46,47,0.636866538,0.640789168
47,48,0.602556735,0.560901224
48,49,0.62384,0.628
49,50,0.557666667,0.5585
50,51,0.616571429,0.619238095
51,52,0.590666667,0.594666667
52,53,0.565333333,0.569333333
53,54,0.466666667,0.466666667
54,55,0.763102041,0.764734694
55,56,0.493333333,0.502666667
56,57,0.573866667,0.558666667
57,58,0.670647273,0.671912727
58,59,0.573,0.576
59,60,0.642387879,0.647850505
60,61,0.502142857,0.505428571
61,62,-1.0,0.651743396
62,63,-1.0,0.45820202
63,64,-1.0,0.601234848
64,65,-1.0,0.644690476
65,66,-1.0,0.800666667
66,67,0.604666667,0.466
67,68,-1.0,0.754156863
68,69,-1.0,0.595276923
69,70,-1.0,0.66048
70,71,-1.0,0.528666667
71,72,-1.0,0.512
72,73,-1.0,0.617333333
73,74,-1.0,0.688916667
74,75,0.476996078,0.477231373
75,76,-1.0,0.667333333
76,77,-1.0,0.483333333
77,78,-1.0,0.404666667
78,79,-1.0,0.677454694
79,80,-1.0,0.475758431
0,81,-1.0,0.3973333333333333
1,82,-1.0,0.4288
2,83,-1.0,0.7336
3,84,-1.0,0.723229326513214
4,85,-1.0,0.8973333333333333
5,86,-1.0,-1.0
6,87,-1.0,0.5138666666666667
7,88,-1.0,-1.0
8,89,-1.0,0.468
9,90,-1.0,-1.0
10,91,-1.0,0.5250666666666667
11,92,-1.0,0.4335705685618729
12,93,-1.0,0.4648
13,94,-1.0,0.8664594285714285
14,95,-1.0,0.7146285714285714
15,96,-1.0,0.6682666666666667
16,97,-1.0,0.4514666666666667
17,98,-1.0,0.7952492307692308
18,99,-1.0,-1.0
19,100,-1.0,-1.0
20,101,-1.0,0.48933333333333334
21,102,-1.0,0.47765291005291005
22,103,-1.0,0.9412649411764706
23,104,-1.0,0.4948
24,105,-1.0,0.6947333333333333
25,106,-1.0,0.5854666666666667
26,107,-1.0,0.787824
27,108,-1.0,-1.0
28,109,-1.0,0.49093333333333333
29,110,-1.0,0.6788202264150943
30,111,-1.0,0.7660235294117647
31,112,-1.0,0.3934666666666667
32,113,-1.0,0.6184
33,114,-1.0,0.555836862745098
34,115,-1.0,0.6572
35,116,-1.0,0.4534666666666667
36,117,-1.0,0.7577333333333334
37,118,-1.0,0.5237333333333334
38,119,-1.0,0.6806666666666666
39,120,-1.0,-1.0
