,instance,normalization_constant
0,20,169050
1,107,250000
2,81,7500
3,36,875
4,67,3000
5,109,15000
6,72,3000
7,74,552000
8,113,15000
9,4,300
10,45,6641250
11,60,5692500
12,7,1849200
13,119,15000
14,19,5000
15,30,146875
16,62,11130000
17,12,750
18,77,3000
19,110,3312500
20,35,2394875
21,71,3000
22,79,612500
23,22,750
24,38,162500
25,56,1500
26,1,1500
27,104,15000
28,31,1875
29,86,7500
30,80,14662500
31,3,300
32,108,15000
33,13,1180000
34,103,6375000
35,90,6375000
36,41,1750
37,117,15000
38,21,2625
39,16,821100
40,101,15000
41,47,6462500
42,29,192500
43,75,3570000
44,61,21000
45,85,7500
46,23,3139500
47,6,300
48,69,14950000
49,11,750
50,82,7500
51,118,15000
52,115,15000
53,28,159375
54,89,7500
55,40,162500
56,93,7500
57,49,37500
58,88,32312500
59,68,14662500
60,48,7043750
61,105,15000
62,27,6375
63,8,619500
64,99,1437500
65,78,3000
66,102,16065000
67,17,2125200
68,14,108000
69,57,3750
70,120,3187500
71,64,264000
72,106,15000
73,76,3000
74,5,182700
75,18,16500
76,97,7500
77,53,1500
78,43,1500
79,26,1500
80,42,1500
81,114,3187500
82,2,1200
83,34,112500
84,70,3900000
85,63,8415000
86,44,6900000
87,58,68750
88,46,3750
89,84,19061250
90,15,3000
91,116,15000
92,98,9750000
93,87,7500
94,51,5250
95,52,1500
96,96,7500
97,111,11602500
98,73,3000
99,94,4812500
100,37,262500
101,33,231875
102,112,15000
103,65,13524000
104,91,7500
105,39,825000
106,100,7500
107,55,6737500
108,32,750
109,59,300000
110,25,133875
111,83,7500
112,66,3000
113,10,80000
114,54,1500
115,24,18000
116,9,148050
117,92,13455000
118,95,34781250
119,50,132000
