,instance,total_cost,seed,normalization_constant,cost,solver
0,111,8899800,x,11602500,0.7670588235294118,C
1,25,78246,x,133875,0.5844705882352941,C
2,62,7837389,x,11130000,0.7041679245283019,C
3,8,538650,x,619500,0.8694915254237288,C
4,82,3466,x,7500,0.46213333333333334,C
5,33,143780,x,231875,0.6200754716981132,C
6,107,200332,x,250000,0.801328,C
7,94,3458972,x,4812500,0.7187474285714286,C
8,74,411470,x,552000,0.7454166666666666,C
9,67,1608,x,3000,0.536,C
10,87,4572,x,7500,0.6096,C
11,114,2364630,x,3187500,0.741844705882353,C
12,20,89232,x,169050,0.5278438331854481,C
13,58,54639,x,68750,0.794749090909091,C
14,91,4094,x,7500,0.5458666666666666,C
15,71,1708,x,3000,0.5693333333333334,C
16,36,562,x,875,0.6422857142857142,C
17,102,8448456,x,16065000,0.5258920634920635,C
18,10,59444,x,80000,0.74305,C
19,57,2654,x,3750,0.7077333333333333,C
20,39,677005,x,825000,0.8206121212121212,C
21,41,1051,x,1750,0.6005714285714285,C
22,2,890,x,1200,0.7416666666666667,C
23,88,16968800,x,32312500,0.5251466150870406,C
24,68,11708656,x,14662500,0.7985443137254902,C
25,108,9730,x,15000,0.6486666666666666,C
26,52,1042,x,1500,0.6946666666666667,C
27,15,1674,x,3000,0.558,C
28,7,1678560,x,1849200,0.9077222582738481,C
29,44,4053520,x,6900000,0.5874666666666667,C
30,86,5508,x,7500,0.7344,C
31,66,2472,x,3000,0.824,C
32,21,1535,x,2625,0.5847619047619048,C
33,115,9916,x,15000,0.6610666666666667,C
34,59,201350,x,300000,0.6711666666666667,C
35,70,3007536,x,3900000,0.771163076923077,C
36,90,3994784,x,6375000,0.6266327843137255,C
37,103,4627512,x,6375000,0.7258842352941176,C
38,37,247212,x,262500,0.94176,C
39,24,13346,x,18000,0.7414444444444445,C
40,110,2449652,x,3312500,0.7395175849056603,C
41,9,139671,x,148050,0.943404255319149,C
42,83,5902,x,7500,0.7869333333333334,C
43,63,4580820,x,8415000,0.5443636363636364,C
44,106,9646,x,15000,0.6430666666666667,C
45,32,518,x,750,0.6906666666666667,C
46,75,1819496,x,3570000,0.5096627450980392,C
47,95,25968400,x,34781250,0.7466206648697215,C
48,109,7848,x,15000,0.5232,C
49,53,1026,x,1500,0.684,C
50,14,72500,x,108000,0.6712962962962963,C
51,120,1865090,x,3187500,0.5851262745098039,C
52,6,220,x,300,0.7333333333333333,C
53,45,5100459,x,6641250,0.767996837944664,C
54,11,511,x,750,0.6813333333333333,C
55,56,884,x,1500,0.5893333333333334,C
56,38,131418,x,162500,0.8087261538461539,C
57,40,121610,x,162500,0.7483692307692308,C
58,69,9743444,x,14950000,0.6517353846153846,C
59,3,146,x,300,0.4866666666666667,C
60,89,3626,x,7500,0.48346666666666666,C
61,55,5695300,x,6737500,0.8453135435992579,C
62,12,552,x,750,0.736,C
63,43,898,x,1500,0.5986666666666667,C
64,119,11656,x,15000,0.7770666666666667,C
65,99,1066740,x,1437500,0.74208,C
66,79,446977,x,612500,0.7297583673469388,C
67,17,1096893,x,2125200,0.5161363636363636,C
68,50,92884,x,132000,0.7036666666666667,C
69,28,89991,x,159375,0.5646494117647058,C
70,5,79926,x,182700,0.4374712643678161,C
71,46,2574,x,3750,0.6864,C
72,80,8017846,x,14662500,0.5468266666666667,C
73,60,4528838,x,5692500,0.7955797979797979,C
74,27,5406,x,6375,0.848,C
75,113,9306,x,15000,0.6204,C
76,49,24528,x,37500,0.65408,C
77,76,2170,x,3000,0.7233333333333334,C
78,96,5706,x,7500,0.7608,C
79,105,10731,x,15000,0.7154,C
80,31,1343,x,1875,0.7162666666666667,C
81,18,14210,x,16500,0.8612121212121212,C
82,22,372,x,750,0.496,C
83,116,7246,x,15000,0.48306666666666664,C
84,85,5512,x,7500,0.7349333333333333,C
85,65,10491312,x,13524000,0.7757551020408163,C
86,100,4244,x,7500,0.5658666666666666,C
87,34,87928,x,112500,0.7815822222222222,C
88,73,2292,x,3000,0.764,C
89,93,4446,x,7500,0.5928,C
90,78,1538,x,3000,0.5126666666666667,C
91,98,5988096,x,9750000,0.6141636923076923,C
92,16,775054,x,821100,0.943921568627451,C
93,51,3460,x,5250,0.659047619047619,C
94,29,166096,x,192500,0.8628363636363636,C
95,4,136,x,300,0.4533333333333333,C
96,47,4384375,x,6462500,0.6784332688588007,C
97,54,798,x,1500,0.532,C
98,13,809760,x,1180000,0.6862372881355933,C
99,42,1070,x,1500,0.7133333333333334,C
100,1,1272,x,1500,0.848,C
101,118,8428,x,15000,0.5618666666666666,C
102,117,11816,x,15000,0.7877333333333333,C
103,23,2033682,x,3139500,0.6477725752508361,C
104,64,180596,x,264000,0.6840757575757576,C
105,84,14292343,x,19061250,0.7498114236999147,C
106,35,1193700,x,2394875,0.4984393757503001,C
107,101,8506,x,15000,0.5670666666666667,C
108,92,7194222,x,13455000,0.5346876254180603,C
109,72,1800,x,3000,0.6,C
110,61,11523,x,21000,0.5487142857142857,C
111,81,3704,x,7500,0.4938666666666667,C
112,112,6440,x,15000,0.42933333333333334,C
113,26,1080,x,1500,0.72,C
114,48,5024028,x,7043750,0.7132604081632653,C
115,97,4124,x,7500,0.5498666666666666,C
116,77,1598,x,3000,0.5326666666666666,C
117,30,99893,x,146875,0.6801225531914894,C
118,104,8206,x,15000,0.5470666666666667,C
119,19,3092,x,5000,0.6184,C
