,instance,SA-R,seed,SA-C,instance_size
0,4,0.3933333333333333,51,0.3933333333333333,10 jobs
1,109,0.4382666666666667,42,0.4421333333333333,500 jobs
2,8,0.8694915254237288,48,0.8694915254237288,10 jobs
3,35,0.31940456182472987,45,0.3212869147659064,25 jobs
4,82,0.42373333333333335,45,0.4242666666666667,250 jobs
5,1,0.692,50,0.692,10 jobs
6,48,0.5692538775510204,47,0.5663542857142857,50 jobs
7,30,0.6079387234042554,44,0.6079387234042554,25 jobs
8,87,0.4925333333333333,44,0.4901333333333333,250 jobs
9,71,0.528,48,0.528,100 jobs
10,111,0.7181960784313726,44,0.720392156862745,500 jobs
11,47,0.6421508704061896,44,0.6331295938104449,50 jobs
12,88,0.4437253384912959,47,0.4506065764023211,250 jobs
13,74,0.66475,49,0.6590833333333334,100 jobs
14,42,0.66,45,0.66,50 jobs
15,114,0.48166588235294117,45,0.4796235294117647,500 jobs
16,78,0.35733333333333334,50,0.36133333333333334,100 jobs
17,28,0.47445333333333334,42,0.47445333333333334,25 jobs
18,63,0.4444808080808081,46,0.4508121212121212,100 jobs
19,71,0.528,42,0.528,100 jobs
20,21,0.49142857142857144,50,0.49142857142857144,25 jobs
21,96,0.6434666666666666,50,0.6410666666666667,250 jobs
22,28,0.47445333333333334,48,0.47445333333333334,25 jobs
23,66,0.8006666666666666,47,0.8006666666666666,100 jobs
24,74,0.6620833333333334,43,0.6590833333333334,100 jobs
25,24,0.6143333333333333,51,0.6143333333333333,25 jobs
26,93,0.43653333333333333,51,0.43653333333333333,250 jobs
27,11,0.6293333333333333,47,0.6293333333333333,10 jobs
28,8,0.8694915254237288,42,0.8694915254237288,10 jobs
29,53,0.564,51,0.564,50 jobs
30,105,0.6593333333333333,51,0.6606666666666666,500 jobs
31,69,0.5433723076923077,44,0.5472123076923077,100 jobs
32,109,0.4417333333333333,48,0.4417333333333333,500 jobs
33,14,0.5788148148148148,46,0.5788148148148148,10 jobs
34,100,0.4584,50,0.4594666666666667,250 jobs
35,56,0.49333333333333335,50,0.49333333333333335,50 jobs
36,20,0.45724933451641525,42,0.45724933451641525,10 jobs
