,instance,All,seed,noSwap,noSingleNewBatch,noExistingNewBatch,noMoreNewBatch
0,38,0.580578,47,0.575754,0.652123,0.583618,0.574769
1,51,0.616571,51,0.616571,0.616571,0.659048,0.616571
2,17,0.451753,42,0.451753,0.474903,0.451753,0.451753
3,98,0.513093,46,0.512017,0.503844,0.595812,0.526727
4,107,0.750144,43,0.749952,0.750576,0.801328,0.749184
5,116,0.4292,45,0.429867,0.433467,0.483067,0.429867
6,73,0.574,42,0.572667,0.601333,0.764,0.571333
7,35,0.350319,51,0.331131,0.380418,0.447866,0.321258
8,62,0.639685,44,0.650721,0.646066,0.694368,0.646494
9,38,0.582351,49,0.575754,0.650462,0.589809,0.582351
10,98,0.508223,48,0.509762,0.508782,0.595564,0.528708
11,95,0.68593,50,0.688515,0.689704,0.723802,0.684964
12,34,0.699662,48,0.699662,0.700622,0.760782,0.699662
13,39,0.730552,50,0.733552,0.764891,0.782939,0.730552
14,50,0.54,46,0.545333,0.5755,0.6675,0.549
15,99,0.653888,51,0.658272,0.658176,0.70352,0.655008
16,94,0.500256,49,0.491634,0.522222,0.543717,0.496974
17,34,0.699662,46,0.699662,0.700622,0.762702,0.699662
18,50,0.539667,48,0.556833,0.554667,0.678667,0.54
19,94,0.491383,47,0.493422,0.519273,0.539493,0.492411
20,117,0.715733,49,0.714667,0.717333,0.787733,0.7144
21,63,0.450812,46,0.45678,0.453192,0.517689,0.453592
22,117,0.7112,47,0.715333,0.713333,0.787733,0.713333
23,99,0.655424,44,0.658016,0.656544,0.704704,0.658112
24,88,0.444695,42,0.460022,0.456411,0.49433,0.446419
25,39,0.730552,45,0.730552,0.763558,0.782939,0.730552
26,28,0.474453,43,0.477333,0.501609,0.484938,0.474453
27,63,0.449547,48,0.448436,0.453087,0.516162,0.446788
28,95,0.688544,45,0.687941,0.689357,0.723802,0.688436
29,84,0.703429,43,0.707724,0.70343,0.740838,0.701805
30,1,0.692,46,0.692,0.692,0.692,0.692
31,35,0.321287,44,0.348764,0.358214,0.447539,0.321258
32,24,0.614333,42,0.614333,0.614333,0.679222,0.614333
33,62,0.649102,51,0.65047,0.640591,0.694368,0.641647
34,116,0.425867,50,0.426933,0.434267,0.483067,0.429467
35,40,0.565354,42,0.565354,0.568886,0.632135,0.565354
36,1,0.692,48,0.692,0.692,0.692,0.692
37,51,0.616571,44,0.616571,0.616571,0.659048,0.616571
38,109,0.442933,46,0.4492,0.4448,0.5232,0.440267
39,96,0.641867,43,0.6424,0.647467,0.76,0.642667
40,87,0.490133,45,0.501867,0.497333,0.6096,0.495467
41,36,0.56,42,0.56,0.56,0.642286,0.56
42,70,0.640154,51,0.651865,0.672431,0.679348,0.646286
43,27,0.788078,44,0.788078,0.788706,0.79702,0.788078
44,19,0.5304,47,0.5304,0.564,0.5304,0.5304
45,109,0.441733,48,0.4488,0.4436,0.5232,0.443867
46,104,0.418133,50,0.426267,0.434,0.547067,0.4192
47,19,0.5304,49,0.5304,0.564,0.5304,0.5304
