,instance,total_cost,seed,normalization_constant,cost,solver
0,42,1358,47,1500,0.9053333333333333,R
1,85,6794,51,7500,0.9058666666666667,R
2,46,3484,42,3750,0.9290666666666667,R
3,83,7292,47,7500,0.9722666666666666,R
4,44,6594146,51,6900000,0.9556733333333334,R
5,87,7130,42,7500,0.9506666666666667,R
6,113,13092,47,15000,0.8728,R
7,117,14408,42,15000,0.9605333333333334,R
8,31,1506,51,1875,0.8032,R
9,79,558680,46,612500,0.912130612244898,R
10,115,11874,51,15000,0.7916,R
11,74,484150,44,552000,0.8770833333333333,R
12,37,261240,47,262500,0.9952,R
13,75,3526908,49,3570000,0.9879294117647058,R
14,33,183155,42,231875,0.7898867924528302,R
15,115,11874,48,15000,0.7916,R
16,119,14194,47,15000,0.9462666666666667,R
17,75,3532620,50,3570000,0.9895294117647059,R
18,114,2544190,45,3187500,0.7981772549019608,R
19,30,138799,45,146875,0.9450144680851064,R
20,39,704905,42,825000,0.854430303030303,R
21,73,2780,46,3000,0.9266666666666666,R
22,31,1506,48,1875,0.8032,R
23,77,2462,43,3000,0.8206666666666667,R
24,48,6175960,47,7043750,0.8768,R
25,45,6190548,45,6641250,0.9321359683794467,R
26,44,6478226,48,6900000,0.9388733333333333,R
27,89,5834,47,7500,0.7778666666666667,R
28,84,17189263,45,19061250,0.9017909633418585,R
29,85,6840,48,7500,0.912,R
30,74,486312,45,552000,0.881,R
31,115,11874,50,15000,0.7916,R
32,79,558680,47,612500,0.912130612244898,R
33,33,179445,43,231875,0.7738867924528302,R
34,75,3524052,48,3570000,0.9871294117647059,R
35,37,261240,46,262500,0.9952,R
36,117,14396,43,15000,0.9597333333333333,R
37,113,13134,46,15000,0.8756,R
38,31,1541,50,1875,0.8218666666666666,R
39,44,6582002,50,6900000,0.9539133333333333,R
40,87,7098,43,7500,0.9464,R
41,83,7280,46,7500,0.9706666666666667,R
42,85,6794,50,7500,0.9058666666666667,R
43,46,3474,43,3750,0.9264,R
44,42,1348,46,1500,0.8986666666666666,R
45,84,17190589,44,19061250,0.9018605285592498,R
46,89,5834,46,7500,0.7778666666666667,R
47,85,6802,49,7500,0.9069333333333334,R
48,45,6163983,44,6641250,0.9281359683794467,R
49,48,6118483,46,7043750,0.86864,R
50,44,6512450,49,6900000,0.9438333333333333,R
51,30,138282,44,146875,0.9414944680851064,R
52,39,705730,43,825000,0.855430303030303,R
53,77,2460,42,3000,0.82,R
54,31,1536,49,1875,0.8192,R
55,73,2864,47,3000,0.9546666666666667,R
56,115,11874,49,15000,0.7916,R
57,114,2576320,44,3187500,0.8082572549019608,R
58,75,3535476,51,3570000,0.9903294117647059,R
59,119,14182,46,15000,0.9454666666666667,R
60,49,37416,48,37500,0.99776,R
61,45,6137418,47,6641250,0.9241359683794467,R
62,41,1595,42,1750,0.9114285714285715,R
63,82,7266,51,7500,0.9688,R
64,48,6250342,45,7043750,0.88736,R
65,88,29076375,48,32312500,0.8998491295938105,R
66,84,17197219,47,19061250,0.9022083546462063,R
67,80,13275186,42,14662500,0.9053835294117647,R
68,43,1472,51,1500,0.9813333333333333,R
69,89,5834,45,7500,0.7778666666666667,R
70,114,2543595,47,3187500,0.7979905882352941,R
71,78,2318,50,3000,0.7726666666666666,R
72,110,3076418,42,3312500,0.9287299622641509,R
73,119,14112,45,15000,0.9408,R
74,118,11380,48,15000,0.7586666666666667,R
75,36,835,51,875,0.9542857142857143,R
76,112,12810,51,15000,0.854,R
77,73,2708,44,3000,0.9026666666666666,R
78,30,139692,47,146875,0.9510944680851063,R
79,72,2673,49,3000,0.891,R
80,34,110400,42,112500,0.9813333333333333,R
81,112,12818,48,15000,0.8545333333333334,R
82,72,2673,50,3000,0.891,R
83,113,13118,45,15000,0.8745333333333334,R
84,78,2358,49,3000,0.786,R
85,37,261240,45,262500,0.9952,R
86,74,486864,46,552000,0.882,R
87,118,11380,51,15000,0.7586666666666667,R
88,36,835,48,875,0.9542857142857143,R
89,70,3413544,43,3900000,0.8752676923076923,R
90,79,559464,44,612500,0.913410612244898,R
91,42,1344,45,1500,0.896,R
92,88,29203275,51,32312500,0.9037764023210831,R
93,43,1472,48,1500,0.9813333333333333,R
